12.31,Common,0.00%
7.83,Common,0.00%
1.29,Common,0.00%
7.61,Common,0.00%
2.49,Common,0.00%
2.99,Common,0.00%
1.79,Jimmy,0.00%
2.99,Jimmy,0.00%
5.99,Common,0.00%
1.99,Common,0.00%
1.99,Common,0.00%
1.99,Common,0.00%
0.99,Common,0.00%
6.69,Common,0.00%
,,
,,
,,
,,
,,
,,
,,
,,
